statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,s-4vcpu-8gb-5-default-pool-8ag0qCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0qMemoryUsage,s-4vcpu-8gb-5-default-pool-8ag0cCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0cMemoryUsage,s-4vcpu-8gb-5-default-pool-8ag07CpuUsage,s-4vcpu-8gb-5-default-pool-8ag07MemoryUsage,s-4vcpu-8gb-5-default-pool-8ag0mCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0mMemoryUsage,s-4vcpu-8gb-5-default-pool-8ag0uCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0uMemoryUsage,functionInvocationRate
502,60.11699986457825,1623494018.331,1623494078.448,a546dd38-e1b7-4cd1-8a4e-72fe406758c7,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.133999824523926,1623494017.331,1623494077.465,ed69b372-5624-4582-9769-9ef1b3a786a2,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.12899994850159,1623494019.331,1623494079.46,57bb0a4d-f3dc-4400-b142-6bc2ad07175f,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.12299990653992,1623494020.331,1623494080.454,c49e1bbc-ceb9-4866-95d6-8c673fc783dd,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,36.62299990653992,1623494045.332,1623494081.955,69213d10-53a9-4d41-87d3-2d3db21bb196,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,55.967000007629395,1623494026.334,1623494082.301,deafdf04-0dff-4160-aad4-e22d5a072d29,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.120999813079834,1623494022.331,1623494082.452,b3959e30-1463-48b1-8956-99c6f4967048,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.13199996948242,1623494024.331,1623494084.463,e0ca59f1-9152-47a6-b0f4-a021e0239c21,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.13199996948242,1623494025.331,1623494085.463,bf2dd891-a493-49b5-867a-ec55ae5f6a55,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,32.09299993515015,1623494054.331,1623494086.424,714023d1-fac4-4427-86c7-54d62377b151,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.12299990653992,1623494028.331,1623494088.454,570781d9-884a-4c55-a199-d9d9b9b1db67,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.12899994850159,1623494029.331,1623494089.46,cc9fe657-ee76-4cca-a95c-6f2943462be7,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
