executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,cpCpuUsage,cpMemoryUsage,n3CpuUsage,n3MemoryUsage,n4CpuUsage,n4MemoryUsage,n2CpuUsage,n2MemoryUsage,n1CpuUsage,n1MemoryUsage,functionInvocationRate,schedulingLatency
1621019788.373646,1621019791.3821967,3.0085506439208984,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,3.257999897003174,1621019788.134,1621019791.392,620e80c6-1437-4bb7-865f-c54e6c82ae07,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,600m,0.23964595794677734
1621019790.1995137,1621019794.5235705,4.32405686378479,bbb8ad93-5449-439e-9bce-b098d5b567e1,1620965182,200,4.6549999713897705,1621019789.801,1621019794.456,92fa4b9e-8b97-4ea8-ad93-f0ad13e90fdc,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.3985135555267334
1621019791.9042878,1621019795.328124,3.4238362312316895,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,3.81000018119812,1621019791.468,1621019795.278,51ff57a2-f345-4d2b-af2e-49a7ea7f6cbc,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,600m,0.43628787994384766
1621019793.574535,1621019796.3488407,2.774305820465088,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,3.2189998626708984,1621019793.134,1621019796.353,7d74537c-37ba-44da-96ad-852c7d6825b9,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,600m,0.4405348300933838
1621019795.0515463,1621019797.5783355,2.5267891883850098,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.7849998474121094,1621019794.801,1621019797.586,144bf2bc-7d37-48f1-b6bc-9eb5ef80143f,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,600m,0.2505462169647217
1621019796.7350993,1621019799.5341623,2.799062967300415,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,3.075000047683716,1621019796.467,1621019799.542,7b453e53-2202-4721-b9cb-cb0904f2dae2,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,600m,0.268099308013916
1621019798.3988104,1621019801.1142201,2.715409755706787,bbb8ad93-5449-439e-9bce-b098d5b567e1,1620965182,200,2.9110000133514404,1621019798.134,1621019801.045,f71098a1-813c-41e5-b473-4ed99c9be63b,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,499m,0.26481032371520996
1621019800.06209,1621019802.5376437,2.4755537509918213,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.686999797821045,1621019799.801,1621019802.488,5a37e4fe-fea6-4c5e-acb1-ffa3f5b7d830,3,1059734985n,1905016Ki,1360795936n,1181600Ki,462301334n,1361228Ki,583251148n,1314412Ki,608011131n,1254600Ki,499m,0.2610898017883301
1621019801.718088,1621019804.1402993,2.4222114086151123,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.677999973297119,1621019801.468,1621019804.146,f1134e24-ffea-481e-9f9c-c51be830988c,3,1059734985n,1905016Ki,1360795936n,1181600Ki,462301334n,1361228Ki,583251148n,1314412Ki,608011131n,1254600Ki,499m,0.2500879764556885
1621019803.4284883,1621019805.8930821,2.4645938873291016,bbb8ad93-5449-439e-9bce-b098d5b567e1,1620965182,200,2.692999839782715,1621019803.134,1621019805.827,4fa7f6a5-7a72-497b-97bb-6e10ed5a0c2c,3,1059734985n,1905016Ki,1360795936n,1181600Ki,462301334n,1361228Ki,583251148n,1314412Ki,608011131n,1254600Ki,700m,0.29448819160461426
1621019805.0364902,1621019807.3840902,2.347599983215332,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.5349998474121094,1621019804.801,1621019807.336,bab92bb0-0b3b-403e-bc2c-67a9277e61f5,3,1059734985n,1905016Ki,1360795936n,1181600Ki,462301334n,1361228Ki,583251148n,1314412Ki,608011131n,1254600Ki,600m,0.235490083694458
